step	mse
49	0.06702519953250885
99	0.04303312301635742
149	0.07835382968187332
199	0.06054425612092018
249	0.06435467302799225
299	0.03590179607272148
349	0.07676380127668381
399	0.05887984484434128
449	0.05317889153957367
499	0.03331958130002022
549	0.07419165968894958
599	0.059321220964193344
649	0.055854398757219315
699	0.03316427022218704
749	0.06713330000638962
799	0.05975019559264183
849	0.048624008893966675
899	0.034456767141819
949	0.06629673391580582
999	0.059306349605321884
1049	0.050785355269908905
1099	0.030474521219730377
1149	0.06261278688907623
1199	0.06223127990961075
